"STATISTIC Label","Year","Sex","Nationality","UNIT","VALUE"
"Estimated Population","2006","Both sexes","Irish","Thousand","3802.4"
"Estimated Population","2006","Both sexes","UK (1)","Thousand","115.5"
"Estimated Population","2006","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.8"
"Estimated Population","2006","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","132.5"
"Estimated Population","2006","Both sexes","Other nationalities(17)","Thousand","138.8"
"Estimated Population","2006","Both sexes","All nationalities","Thousand","4232.9"
"Estimated Population","2006","Male","Irish","Thousand","1887.4"
"Estimated Population","2006","Male","UK (1)","Thousand","57.8"
"Estimated Population","2006","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.3"
"Estimated Population","2006","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","79.9"
"Estimated Population","2006","Male","Other nationalities(17)","Thousand","70.9"
"Estimated Population","2006","Male","All nationalities","Thousand","2117.3"
"Estimated Population","2006","Female","Irish","Thousand","1914.9"
"Estimated Population","2006","Female","UK (1)","Thousand","57.7"
"Estimated Population","2006","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","22.5"
"Estimated Population","2006","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","52.6"
"Estimated Population","2006","Female","Other nationalities(17)","Thousand","67.9"
"Estimated Population","2006","Female","All nationalities","Thousand","2115.6"
"Estimated Population","2007","Both sexes","Irish","Thousand","3856.2"
"Estimated Population","2007","Both sexes","UK (1)","Thousand","115.5"
"Estimated Population","2007","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47"
"Estimated Population","2007","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","207.6"
"Estimated Population","2007","Both sexes","Other nationalities(17)","Thousand","149.6"
"Estimated Population","2007","Both sexes","All nationalities","Thousand","4375.8"
"Estimated Population","2007","Male","Irish","Thousand","1915.7"
"Estimated Population","2007","Male","UK (1)","Thousand","57.6"
"Estimated Population","2007","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.8"
"Estimated Population","2007","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.3"
"Estimated Population","2007","Male","Other nationalities(17)","Thousand","75.9"
"Estimated Population","2007","Male","All nationalities","Thousand","2191.3"
"Estimated Population","2007","Female","Irish","Thousand","1940.5"
"Estimated Population","2007","Female","UK (1)","Thousand","57.9"
"Estimated Population","2007","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.2"
"Estimated Population","2007","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","87.4"
"Estimated Population","2007","Female","Other nationalities(17)","Thousand","73.7"
"Estimated Population","2007","Female","All nationalities","Thousand","2184.6"
"Estimated Population","2008","Both sexes","Irish","Thousand","3909.5"
"Estimated Population","2008","Both sexes","UK (1)","Thousand","117.9"
"Estimated Population","2008","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","50.8"
"Estimated Population","2008","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.7"
"Estimated Population","2008","Both sexes","Other nationalities(17)","Thousand","159.2"
"Estimated Population","2008","Both sexes","All nationalities","Thousand","4485.1"
"Estimated Population","2008","Male","Irish","Thousand","1942.3"
"Estimated Population","2008","Male","UK (1)","Thousand","58.9"
